120 5 10000
1 gazprom-17 90.74 5
2 sberbank-14 109.85 3
2 beta-07 107.87 5
2 gazprom-17 102.1 3
2 rosneft-22 91.6 6
2 rosneft-22 97.86 1
3 rosneft-22 99.24 6
3 beta-07 106.62 7
3 rosneft-22 105.84 4
3 alfa-05 96.01 10
3 gazprom-17 102.14 6
4 sberbank-14 91.17 8
5 sberbank-14 92.46 5
5 rosneft-22 109.02 10
5 alfa-05 101.82 3
5 alfa-05 108.26 6
5 sberbank-14 99.99 3
6 sberbank-14 93.81 4
6 beta-07 109.06 7
6 beta-07 105.15 3
6 gazprom-17 102.08 7
6 rosneft-22 96.02 6
7 gazprom-17 100.25 2
7 alfa-05 94.79 9
7 sberbank-14 107.01 9
7 gazprom-17 109.82 9
8 sberbank-14 95.67 3
9 gazprom-17 101.76 4
9 gazprom-17 109.52 5
9 beta-07 95.85 9
9 gazprom-17 108.66 3
10 beta-07 90.73 7
10 sberbank-14 96.89 7
11 rosneft-22 95.13 5
11 gazprom-17 102.62 3
11 gazprom-17 103.57 9
11 sberbank-14 91.58 7
11 alfa-05 95.35 4
12 rosneft-22 106.71 5
12 alfa-05 109.95 1
12 alfa-05 109.08 10
12 rosneft-22 97.34 5
12 alfa-05 107.52 8
13 sberbank-14 107.05 9
13 rosneft-22 96.43 8
13 beta-07 90.03 7
14 alfa-05 93.71 4
14 beta-07 94.24 1
14 beta-07 100.12 7
14 gazprom-17 99.0 1
15 sberbank-14 99.84 4
15 alfa-05 94.45 6
15 beta-07 98.08 7
15 gazprom-17 93.71 9
16 gazprom-17 99.37 10
16 rosneft-22 98.02 10
16 sberbank-14 93.17 6
17 sberbank-14 92.49 7
17 alfa-05 109.69 1
17 beta-07 97.84 9
18 rosneft-22 103.31 5
18 rosneft-22 109.75 1
19 alfa-05 108.12 2
19 rosneft-22 107.96 4
19 gazprom-17 106.87 6
20 sberbank-14 103.98 10
20 alfa-05 107.29 4
20 gazprom-17 93.62 2
20 alfa-05 104.1 5
20 sberbank-14 106.46 2
21 beta-07 103.97 2
21 sberbank-14 106.18 8
21 sberbank-14 92.22 2
21 gazprom-17 91.23 7
21 beta-07 99.38 9
22 gazprom-17 101.82 10
22 sberbank-14 106.83 1
22 rosneft-22 99.97 1
22 gazprom-17 101.3 3
23 beta-07 101.3 7
23 alfa-05 105.6 3
23 rosneft-22 106.94 4
23 beta-07 92.84 9
24 gazprom-17 97.47 2
24 alfa-05 100.91 1
25 gazprom-17 97.01 2
25 rosneft-22 104.85 10
25 sberbank-14 90.48 8
26 alfa-05 98.89 5
26 alfa-05 106.08 9
26 rosneft-22 105.64 4
27 sberbank-14 99.03 2
27 sberbank-14 99.74 9
27 rosneft-22 100.41 5
27 beta-07 101.53 10
28 rosneft-22 95.51 7
29 beta-07 97.05 1
29 sberbank-14 109.83 4
29 alfa-05 101.12 3
30 rosneft-22 92.89 1
31 alfa-05 93.95 10
31 alfa-05 106.96 4
31 alfa-05 105.56 4
32 alfa-05 95.32 10
32 sberbank-14 101.93 7
33 alfa-05 104.21 2
33 gazprom-17 101.71 7
34 rosneft-22 103.67 10
34 alfa-05 90.58 7
34 gazprom-17 94.22 4
35 sberbank-14 98.27 5
35 rosneft-22 102.53 7
35 gazprom-17 108.92 8
35 sberbank-14 101.88 5
36 rosneft-22 100.91 7
37 gazprom-17 101.99 10
37 sberbank-14 99.42 4
37 gazprom-17 101.55 6
37 rosneft-22 94.79 5
37 beta-07 91.37 9
38 beta-07 94.83 5
38 alfa-05 103.92 2
39 sberbank-14 103.3 10
39 beta-07 100.8 10
39 gazprom-17 97.62 1
40 alfa-05 104.22 4
40 alfa-05 103.5 6
40 gazprom-17 109.76 3
40 alfa-05 109.83 8
41 sberbank-14 109.42 4
41 gazprom-17 96.1 10
42 alfa-05 106.59 9
42 rosneft-22 105.15 6
42 rosneft-22 91.62 6
43 sberbank-14 108.56 4
43 alfa-05 101.8 4
43 sberbank-14 109.96 3
44 beta-07 96.73 6
44 gazprom-17 102.19 4
45 sberbank-14 102.96 2
45 rosneft-22 98.16 5
45 sberbank-14 107.24 5
45 gazprom-17 91.73 7
46 alfa-05 90.45 3
47 gazprom-17 107.17 1
47 alfa-05 91.62 9
47 beta-07 106.57 9
47 sberbank-14 102.94 1
47 alfa-05 102.84 7
48 beta-07 100.62 7
49 beta-07 109.47 2
49 gazprom-17 99.06 7
49 rosneft-22 105.88 10
49 gazprom-17 100.43 4
49 alfa-05 100.86 4
50 sberbank-14 100.83 5
50 alfa-05 97.27 6
50 beta-07 99.84 8
51 alfa-05 90.47 10
51 beta-07 107.64 2
51 rosneft-22 98.45 4
51 rosneft-22 107.69 5
52 beta-07 102.81 2
52 sberbank-14 108.5 4
52 rosneft-22 101.43 4
52 beta-07 91.45 5
52 beta-07 108.39 6
53 beta-07 109.27 10
53 rosneft-22 98.54 4
53 sberbank-14 103.66 5
53 beta-07 108.38 8
54 alfa-05 100.44 8
55 beta-07 93.7 2
55 beta-07 104.48 10
55 beta-07 91.29 1
55 beta-07 102.39 10
55 sberbank-14 99.85 3
56 rosneft-22 99.78 5
56 gazprom-17 105.02 8
56 gazprom-17 103.37 2
57 beta-07 94.0 6
57 alfa-05 95.75 5
58 sberbank-14 108.06 10
58 rosneft-22 91.43 3
58 beta-07 95.66 4
58 alfa-05 96.64 5
58 rosneft-22 90.34 2
59 rosneft-22 99.87 2
60 sberbank-14 90.54 1
60 alfa-05 109.23 6
60 alfa-05 90.88 9
60 beta-07 107.59 5
61 alfa-05 99.23 10
61 sberbank-14 99.25 6
61 rosneft-22 100.06 3
61 rosneft-22 109.77 6
61 beta-07 104.98 10
62 rosneft-22 106.71 2
62 rosneft-22 107.91 8
62 rosneft-22 96.73 2
62 sberbank-14 94.96 2
63 beta-07 107.64 10
63 gazprom-17 105.36 1
64 gazprom-17 108.18 1
64 gazprom-17 91.3 5
64 gazprom-17 105.17 8
65 gazprom-17 94.43 4
65 gazprom-17 91.48 7
65 sberbank-14 101.65 7
65 beta-07 106.62 2
66 gazprom-17 108.06 3
66 rosneft-22 109.28 4
67 sberbank-14 102.34 9
67 rosneft-22 102.69 9
68 rosneft-22 95.67 7
68 rosneft-22 98.76 2
69 beta-07 103.03 10
69 gazprom-17 94.19 1
70 gazprom-17 98.1 3
71 sberbank-14 90.47 9
71 sberbank-14 103.81 8
71 alfa-05 101.52 3
71 alfa-05 101.38 7
72 beta-07 108.05 1
72 gazprom-17 107.77 5
72 sberbank-14 98.68 8
72 alfa-05 99.28 6
72 alfa-05 91.07 8
73 alfa-05 97.67 10
73 gazprom-17 95.18 1
73 beta-07 95.45 10
74 alfa-05 106.5 8
74 alfa-05 93.26 8
74 alfa-05 91.92 9
74 rosneft-22 90.41 9
74 rosneft-22 97.73 8
75 beta-07 100.01 8
75 sberbank-14 97.63 2
75 beta-07 97.49 5
75 sberbank-14 101.37 8
75 beta-07 109.84 5
76 gazprom-17 99.24 8
76 rosneft-22 103.32 9
76 alfa-05 105.81 10
77 beta-07 98.88 5
78 gazprom-17 95.04 8
79 gazprom-17 101.21 8
79 rosneft-22 100.06 2
79 beta-07 92.16 10
80 beta-07 98.47 3
80 gazprom-17 105.95 10
80 alfa-05 97.86 9
80 alfa-05 93.03 8
81 gazprom-17 96.08 3
81 rosneft-22 107.37 8
81 alfa-05 108.26 6
81 alfa-05 99.46 9
81 beta-07 93.39 5
82 rosneft-22 104.58 10
82 sberbank-14 94.09 8
83 alfa-05 96.71 3
84 beta-07 102.43 9
84 gazprom-17 100.3 4
84 rosneft-22 96.55 4
84 rosneft-22 108.78 8
85 gazprom-17 109.35 9
85 sberbank-14 101.35 10
86 sberbank-14 96.79 1
86 rosneft-22 98.33 3
86 sberbank-14 101.47 7
87 sberbank-14 100.69 8
87 beta-07 96.08 7
88 sberbank-14 109.16 5
88 beta-07 102.06 1
88 alfa-05 104.94 10
88 alfa-05 94.18 7
88 rosneft-22 103.52 5
89 alfa-05 91.47 10
89 alfa-05 90.78 9
90 beta-07 90.23 4
90 gazprom-17 90.42 6
90 gazprom-17 99.95 7
91 gazprom-17 107.17 3
92 alfa-05 103.03 2
92 sberbank-14 100.31 4
92 alfa-05 106.43 1
92 sberbank-14 93.71 3
93 sberbank-14 109.11 10
93 sberbank-14 91.46 8
93 beta-07 109.69 9
93 beta-07 104.74 8
93 rosneft-22 90.54 1
94 rosneft-22 109.01 2
95 rosneft-22 108.58 1
95 gazprom-17 95.09 1
95 sberbank-14 101.1 9
95 sberbank-14 103.67 5
96 alfa-05 105.19 2
97 rosneft-22 104.06 6
97 gazprom-17 97.39 7
98 gazprom-17 107.05 5
98 beta-07 93.34 9
99 sberbank-14 92.17 2
99 sberbank-14 102.79 9
100 beta-07 99.51 3
100 beta-07 106.84 9
100 gazprom-17 92.57 2
100 gazprom-17 101.19 4
101 beta-07 109.65 4
101 rosneft-22 90.71 7
102 sberbank-14 109.61 1
102 sberbank-14 97.5 1
103 sberbank-14 106.11 9
103 beta-07 107.22 8
103 sberbank-14 109.68 2
103 rosneft-22 105.68 2
103 beta-07 105.49 7
104 alfa-05 96.36 2
105 sberbank-14 93.6 6
